,person,classification,count,,,,,
1,/02/,/0/,10364,,,,,
2,/02/,/1/,987,,,,,
3,/04/,/0/,16931,,,Sensor,0,1
4,/04/,/1/,1746,,,02,10364,987
5,/06/,/0/,2272,,,04,16931,1746
6,/06/,/1/,1332,,,06,2272,1332
7,/08/,/0/,3403,,,08,3403,403
8,/08/,/1/,403,,,10,40,0
9,/10/,/0/,40,,,11,13501,539
10,/11/,/0/,13501,,,15,7221,26
11,/11/,/1/,539,,,21,1191,0
12,/15/,/0/,7221,,,22,18,0
13,/15/,/1/,26,,,23,2655,844
14,/21/,/0/,1191,,,24,35,7525
15,/22/,/0/,18,,,39,0,61
16,/23/,/0/,2655,,,52,7606,1345
17,/23/,/1/,844,,,59,15943,219
18,/24/,/0/,35,,,62,5934,1752
19,/39/,/0/,7525,,,63,2348,1005
20,/39/,/1/,61,,,72,4339,1735
21,/52/,/0/,7606,,,,,
22,/52/,/1/,1345,,,,,
23,/59/,/0/,15943,,,,,
24,/59/,/1/,219,,,,,
25,/62/,/0/,5934,,,,,
26,/62/,/1/,1752,,,,,
27,/63/,/0/,2348,,,,,
28,/63/,/1/,1005,,,,,
29,/72/,/0/,4339,,,,,
30,/72/,/1/,1735,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,113320,,,,,
